Row Labels,Sum of Population,Count of Name,,,,,,,,,,,
MAR," 8,757,562.00 ", 22.00 ,,CountryCode,Continent, Total_population_per_countryCode , Total_city_perCountry_Code ,Ave_Total_per_city_per_country_code,Column1,Row Labels,Count of Regions,,
ABW," 29,034.00 ", 1.00 ,,MAR,Africa," 8,757,562.00 ", 22.00 ,398071,,Africa,58,,
AFG," 2,332,100.00 ", 4.00 ,,AGO,Africa," 2,561,600.00 ", 5.00 ,512320,,Antarctica,5,,
AGO," 2,561,600.00 ", 5.00 ,,BDI,Africa," 300,000.00 ", 1.00 ,300000,,Asia,51,,
AIA," 1,556.00 ", 2.00 ,,BEN,Africa," 968,503.00 ", 4.00 ,242125.75,,Europe,46,,
ALB," 270,000.00 ", 1.00 ,,BFA,Africa," 1,229,000.00 ", 3.00 ,409666.6667,,North America,37,,
AND," 21,189.00 ", 1.00 ,,BWA,Africa," 314,822.00 ", 2.00 ,157411,,Oceania,28,,
ANT," 2,345.00 ", 1.00 ,,CAF,Africa," 524,000.00 ", 1.00 ,524000,,South America,14,,
ARE," 1,728,336.00 ", 5.00 ,,CIV,Africa," 3,191,137.00 ", 5.00 ,638227.4,,Grand Total,239,,
ARG," 19,996,563.00 ", 57.00 ,,CMR,Africa," 3,522,554.00 ", 7.00 ,503222,,,,,
ARM," 1,633,100.00 ", 3.00 ,,COD,Africa," 9,864,615.00 ", 18.00 ,548034.1667,,,,,
ASM," 7,523.00 ", 2.00 ,,COG,Africa," 1,450,000.00 ", 2.00 ,725000,,,,,
ATG," 24,000.00 ", 1.00 ,,COM,Africa," 36,000.00 ", 1.00 ,36000,,,,,
AUS," 11,313,666.00 ", 14.00 ,,CPV,Africa," 94,800.00 ", 1.00 ,94800,,,,,
AUT," 2,384,273.00 ", 6.00 ,,DJI,Africa," 383,000.00 ", 1.00 ,383000,,,,,
AZE," 2,464,000.00 ", 4.00 ,,DZA,Africa," 5,192,179.00 ", 18.00 ,288454.3889,,Continent,Total_countryCode,Total_sum_of_country_Code_per_continent,
